hcpcs_code,state,code_category,avg_payment,p25_payment,p50_payment,p75_payment,p90_payment,p75_p25_spread,p90_p50_ratio,provider_count,total_claims
99283,SD,ED Code,40.39,36.4,39.08,45.01,47.32,8.61,1.21,200,5830
99283,SC,ED Code,40.1,36.79,38.91,43.07,47.26,6.28,1.21,227,4795
99213,VI,Office Visit,62.67,59.21,61.49,64.95,74.3,5.74,1.21,44,858
99213,AR,Office Visit,30,25.4,31.27,35.27,37.92,9.87,1.21,11823,561748
99285,MN,ED Code,96.79,89.88,96.05,106.72,115.15,16.84,1.2,703,25140
99284,TN,ED Code,63.8,57.67,69.02,75.53,82.6,17.86,1.2,1278,37073
99285,VA,ED Code,93.69,87.27,96.34,104.82,115.79,17.55,1.2,644,15053
99283,PA,ED Code,52.78,38.81,56.28,62.32,67.49,23.51,1.2,13457,269397
99285,CO,ED Code,116.31,89.59,100,106.72,119.46,17.13,1.19,360,8988
99285,WY,ED Code,97.2,87.91,104.11,110.89,123.93,22.98,1.19,328,7111
99285,RI,ED Code,186.05,129.56,147.66,162.99,176.35,33.43,1.19,14465,326621
99283,KY,ED Code,39.91,37.2,38.64,42.14,46.14,4.94,1.19,199,3932
99283,IN,ED Code,40.99,38.05,39.86,45.06,47.52,7.01,1.19,3983,129549
99284,SC,ED Code,69.01,65.9,70.21,76.87,83.69,10.97,1.19,742,21593
99213,PR,Office Visit,56.03,49.07,69.53,73.88,82.46,24.81,1.19,64316,3219925
99284,TX,ED Code,70.45,67.36,71.91,77.33,85.41,9.97,1.19,1906,53769
99283,IL,ED Code,40.27,37.44,39.86,43,47.47,5.56,1.19,81986,2145048
99283,NV,ED Code,40.5,36.54,39.86,46.15,47.36,9.61,1.19,160,2953
99285,OK,ED Code,90.07,81.2,93.38,100.82,110.24,19.62,1.18,430,9815
99283,KS,ED Code,39.72,37.58,39.86,39.86,47.02,2.28,1.18,156,4425
99284,MS,ED Code,69.18,64.25,69.43,73.84,82.18,9.59,1.18,484,13716
99285,ND,ED Code,100.73,88.5,103.07,111.76,121.28,23.26,1.18,44,1778
99214,PR,Office Visit,93.41,90.78,100.55,104.15,118.57,13.37,1.18,9141,371815
99284,NM,ED Code,63.17,61.17,66.3,68.47,77.92,7.3,1.18,210,6315
99285,GA,ED Code,98.43,91.02,99.1,107.95,117.03,16.93,1.18,1050,39785
99285,NV,ED Code,84.75,61.03,96.14,104.92,112.58,43.89,1.17,509,19568
99213,TX,Office Visit,31.77,29.05,33.68,36.82,39.26,7.77,1.17,49494,3207994
99285,MO,ED Code,95.86,87.63,95.85,104.99,111.9,17.36,1.17,3960,111065
99285,WI,ED Code,88.31,82.38,92.39,101.11,108.39,18.73,1.17,3171,73573
99284,LA,ED Code,68.97,66.46,68.66,75.49,80.47,9.03,1.17,309,10825
99284,KY,ED Code,65.88,60.95,67.15,72.51,78.46,11.56,1.17,819,32082
99285,SC,ED Code,89.64,81.88,91.09,100.66,106.72,18.78,1.17,481,9210
99284,SD,ED Code,68.09,64,67.02,72.54,78.19,8.54,1.17,312,8701
99283,ND,ED Code,40.13,37.01,39.86,39.86,46.79,2.85,1.17,36,1092
99283,GA,ED Code,46.53,39.42,47.66,52.85,55.87,13.43,1.17,949,20189
99284,RI,ED Code,135.06,90.7,103.04,111.29,120.82,20.59,1.17,14916,339542
99283,PR,ED Code,51.51,48.13,52.31,55.66,61.4,7.53,1.17,5335,366713
99215,NV,Office Visit,87.38,81.49,99.14,99.83,115.86,18.34,1.17,44,808
99285,IL,ED Code,93.4,85.21,93.62,101.83,109.39,16.62,1.17,185853,5119160
99285,AL,ED Code,79.88,76.23,85.05,93.38,98.51,17.15,1.16,155,3675
99285,KY,ED Code,89.69,83.53,90.28,97.64,104.55,14.11,1.16,603,17722
99285,IN,ED Code,96.26,87.57,96.98,105.14,112.47,17.57,1.16,6582,166431
99285,IA,ED Code,98.67,89.87,99.1,106.72,115.37,16.85,1.16,1465,31344
99284,WI,ED Code,65.37,64.76,69.79,74.56,80.75,9.8,1.16,5377,169462
99284,MN,ED Code,73.28,68.92,71.86,78.29,83.33,9.37,1.16,935,40787
99284,PA,ED Code,84.16,63.96,90.8,98.96,104.86,35,1.15,75904,2042057
99284,WV,ED Code,81.15,65.52,88.37,96.82,101.67,31.3,1.15,2602,67060
99285,PR,ED Code,134.27,126.4,135.96,147.53,156.1,21.13,1.15,617,41059
99283,WA,ED Code,37.74,34.84,37.52,39.86,43.02,5.02,1.15,271,4399
99284,IA,ED Code,72.42,68.16,72.2,77.37,82.8,9.21,1.15,3694,108585
99285,MS,ED Code,93.21,83.85,92.8,100.32,106.8,16.47,1.15,145,2571
99285,WA,ED Code,93.99,87.85,97.81,103.38,112.58,15.53,1.15,1099,31637
99285,SD,ED Code,85.56,74.96,87.14,97.91,99.86,22.95,1.15,70,1190
99284,MO,ED Code,72.65,67.96,72.11,77.17,83.12,9.21,1.15,5489,184272
99215,DC,Office Visit,128.81,105.01,141.22,159.2,162.86,54.19,1.15,325,23424
99284,ND,ED Code,73.52,69.32,73.4,78.02,83.69,8.7,1.14,42,2042
99284,WA,ED Code,71.53,67.06,70.95,75.6,80.9,8.54,1.14,1191,42131
99215,MI,Office Visit,89.58,60.95,101.46,110.32,115.45,49.37,1.14,689,16551
99284,DC,ED Code,74.6,69.64,73.4,81.92,83.69,12.28,1.14,269,8301
99284,IL,ED Code,70.91,66.73,70.64,74.56,80.59,7.83,1.14,218932,7416455
99285,GU,ED Code,98.84,92.38,97.71,107.75,110.05,15.37,1.13,207,9369
99215,NH,Office Visit,73.71,31.22,93.27,99.41,105.42,68.19,1.13,127,2094
99285,NM,ED Code,90.76,83.85,90.38,95.81,101.73,11.96,1.13,66,1434
99213,ID,Office Visit,69.01,61.3,71.67,78.28,81.09,16.98,1.13,1946,59571
99284,IN,ED Code,71.61,67.75,71.42,75.83,80.47,8.08,1.13,9346,369693
99284,AZ,ED Code,71.83,67.59,72.13,77.86,80.83,10.27,1.12,712,28043
99284,KS,ED Code,73.5,70.52,72.43,77.18,81.18,6.66,1.12,468,16891
99285,ME,ED Code,104.85,90.69,117.94,124.36,131.18,33.67,1.11,91,1726
99214,VI,Office Visit,99.33,69.72,117.89,122.16,131.18,52.44,1.11,237,6895
99283,WV,ED Code,50.8,39.86,56.28,61.12,62.75,21.26,1.11,761,14796
99284,GU,ED Code,71.73,68.09,70.85,75.78,78.67,7.69,1.11,207,16731
99285,CA,ED Code,96.46,91.73,100,104.65,111.4,12.92,1.11,5776,133795
99285,KS,ED Code,98.2,92.67,98.18,105.97,107.62,13.3,1.1,282,5992
99284,OK,ED Code,71.37,67.49,73.23,76.72,80.75,9.23,1.1,552,16392
99285,NE,ED Code,91.33,86.39,100.36,107.8,108.08,21.41,1.08,73,1152
99283,MA,ED Code,62.06,46.78,49.26,49.45,53.19,2.67,1.08,4033,88845
99284,ME,ED Code,77.77,67.8,83.92,88.11,90.36,20.31,1.08,135,2964
99283,VT,ED Code,48.91,47.1,48.73,50.39,52.25,3.29,1.07,77,1474
99283,AL,ED Code,43.8,39.69,46.09,49.16,49.16,9.47,1.07,75,1496
99285,MA,ED Code,123.23,109.2,126.03,131.18,132.88,21.98,1.05,5506,100775
99284,MA,ED Code,90.01,83.59,87.75,90.36,90.93,6.77,1.04,11905,235569
99283,HI,ED Code,49.19,49.53,50.16,50.67,51.21,1.14,1.02,108,1608
99283,GU,ED Code,38.44,37.01,39.2,39.86,39.86,2.85,1.02,90,1710
99284,NH,ED Code,79.15,84.76,89.32,90.36,90.36,5.6,1.01,204,2942
99284,VT,ED Code,69.64,69.35,85.82,86.1,86.49,16.75,1.01,44,638
99215,AK,Office Visit,169.67,166.31,175.79,175.79,175.79,9.48,1,72,3537
99283,DC,ED Code,39.06,37.01,39.86,39.86,39.95,2.85,1,63,1071
99215,PR,Office Visit,7.26,0,0,1.5,3.99,1.5,null,98,15617
